epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.656,1.15401,1.63024,1.2287,0.88919,0.81913,0.85167,0.69012,0.91616,1.10973,1.1306,0.000297864,0.000297864,0.000297864
2,534.888,0.82859,0.81049,1.0289,0.9276,0.89891,0.92614,0.80505,0.61302,0.69812,0.93898,0.000581036,0.000581036,0.000581036
3,807.215,0.76778,0.71798,1.00181,0.8908,0.90242,0.93723,0.81368,0.64523,0.64718,0.92461,0.000844209,0.000844209,0.000844209
4,1068.3,0.70604,0.62648,0.97344,0.91986,0.89974,0.95428,0.84022,0.57795,0.62658,0.91466,0.000819009,0.000819009,0.000819009
5,1334.06,0.66514,0.60873,0.95208,0.94019,0.90637,0.9554,0.87177,0.54215,0.53753,0.89286,0.000789012,0.000789012,0.000789012
6,1599.56,0.63665,0.57221,0.9421,0.92379,0.93108,0.95869,0.8558,0.53771,0.50518,0.89794,0.000759015,0.000759015,0.000759015
7,1870.45,0.61492,0.54511,0.92885,0.95757,0.934,0.96042,0.86681,0.4932,0.4941,0.8695,0.000729018,0.000729018,0.000729018
8,2132.5,0.62707,0.53675,0.92988,0.91264,0.94375,0.96324,0.87785,0.49742,0.47612,0.87064,0.000699021,0.000699021,0.000699021
9,2393.63,0.60071,0.50724,0.92754,0.92993,0.96185,0.96778,0.87943,0.51315,0.46699,0.88948,0.000669024,0.000669024,0.000669024
10,2659.35,0.57365,0.49074,0.91635,0.92215,0.94127,0.95717,0.87107,0.51821,0.48433,0.89207,0.000639027,0.000639027,0.000639027
11,2911.76,0.56709,0.49047,0.90986,0.93424,0.94749,0.96574,0.88791,0.47782,0.44246,0.87253,0.00060903,0.00060903,0.00060903
12,3165.29,0.5468,0.46935,0.90822,0.95275,0.96294,0.9714,0.89369,0.4308,0.40301,0.85484,0.000579033,0.000579033,0.000579033
13,3417.68,0.54165,0.45423,0.90072,0.95072,0.96192,0.97503,0.89685,0.44248,0.39408,0.85662,0.000549036,0.000549036,0.000549036
14,3670.45,0.50914,0.44355,0.89831,0.95678,0.96366,0.97153,0.90667,0.4281,0.38874,0.85483,0.000519039,0.000519039,0.000519039
15,3923.18,0.50386,0.42105,0.8882,0.95297,0.96575,0.97705,0.91074,0.42109,0.36466,0.85883,0.000489042,0.000489042,0.000489042
16,4197.36,0.50297,0.4172,0.88916,0.94612,0.9683,0.97867,0.91836,0.42141,0.35122,0.85379,0.000459045,0.000459045,0.000459045
17,4464.18,0.49563,0.40488,0.88532,0.9808,0.9702,0.98083,0.92199,0.39711,0.35783,0.84716,0.000429048,0.000429048,0.000429048
18,4731.92,0.48016,0.39749,0.88432,0.95173,0.93768,0.97383,0.90175,0.43313,0.38186,0.86423,0.000399051,0.000399051,0.000399051
19,4999.63,0.47685,0.37995,0.8802,0.96979,0.96743,0.97845,0.92482,0.38279,0.32988,0.8406,0.000369054,0.000369054,0.000369054
20,5271.22,0.4612,0.36932,0.87712,0.96235,0.9733,0.97779,0.92389,0.37094,0.33549,0.83861,0.000339057,0.000339057,0.000339057
21,5539.3,0.41996,0.33798,0.86371,0.97018,0.96222,0.98196,0.93357,0.35906,0.31519,0.82579,0.00030906,0.00030906,0.00030906
22,5807.79,0.41047,0.32588,0.84908,0.96336,0.96347,0.9783,0.92497,0.38374,0.31295,0.83826,0.000279063,0.000279063,0.000279063
23,6082.59,0.40246,0.31415,0.85261,0.96043,0.9683,0.98295,0.9263,0.4049,0.30985,0.8483,0.000249066,0.000249066,0.000249066
24,6342.6,0.3851,0.30291,0.84308,0.96298,0.97479,0.98099,0.94249,0.33951,0.28648,0.81659,0.000219069,0.000219069,0.000219069
25,6603.89,0.35713,0.28919,0.83513,0.98409,0.97035,0.98427,0.94771,0.31361,0.27263,0.81526,0.000189072,0.000189072,0.000189072
26,6866.82,0.35071,0.28108,0.82733,0.96806,0.97479,0.98073,0.94701,0.3028,0.26553,0.80804,0.000159075,0.000159075,0.000159075
27,7128.57,0.33815,0.27276,0.82705,0.97798,0.96012,0.98322,0.95297,0.29429,0.25945,0.80553,0.000129078,0.000129078,0.000129078
28,7389.01,0.32726,0.2637,0.82154,0.98627,0.95744,0.98403,0.95113,0.28942,0.25404,0.80268,9.9081e-05,9.9081e-05,9.9081e-05
29,7647.87,0.31044,0.25365,0.8135,0.9855,0.95728,0.98305,0.9547,0.28102,0.25258,0.80085,6.9084e-05,6.9084e-05,6.9084e-05
30,7904.7,0.30325,0.24785,0.81286,0.98675,0.95615,0.98397,0.95668,0.26931,0.24564,0.79651,3.9087e-05,3.9087e-05,3.9087e-05
