epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.557,1.13611,1.73209,1.20151,0.90289,0.87413,0.90123,0.72829,0.83942,1.06209,1.05232,0.000296553,0.000296553,0.000296553
2,561.251,0.79152,0.83379,1.01453,0.92947,0.86621,0.91547,0.77602,0.75761,0.90167,1.00254,0.000540197,0.000540197,0.000540197
3,838.112,0.71828,0.63587,0.98543,0.90873,0.93028,0.94118,0.81338,0.65627,0.64838,0.93689,0.000723848,0.000723848,0.000723848
4,1113.44,0.67452,0.56586,0.95043,0.9129,0.94984,0.9523,0.8533,0.58673,0.56726,0.89116,0.000639027,0.000639027,0.000639027
5,1388.65,0.63107,0.51499,0.94132,0.94198,0.92085,0.95453,0.85435,0.59598,0.51624,0.90587,0.000549036,0.000549036,0.000549036
6,1665.8,0.58631,0.47178,0.91208,0.9298,0.93784,0.95906,0.87743,0.52301,0.51348,0.88487,0.000459045,0.000459045,0.000459045
7,1942.96,0.53613,0.43709,0.89546,0.89929,0.95042,0.96229,0.88978,0.48931,0.48132,0.85736,0.000369054,0.000369054,0.000369054
8,2226.28,0.50154,0.40699,0.88985,0.93969,0.94205,0.95846,0.9022,0.43905,0.4345,0.85368,0.000279063,0.000279063,0.000279063
9,2502.26,0.47929,0.39096,0.88111,0.94623,0.93858,0.96623,0.89345,0.43085,0.41299,0.84062,0.000189072,0.000189072,0.000189072
10,2763.67,0.45314,0.36633,0.86656,0.95566,0.93367,0.97114,0.91257,0.40958,0.38386,0.82904,9.9081e-05,9.9081e-05,9.9081e-05
